index,disease_name,supplement name,supplement image,buy link
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://farmagritech.com/wp-content/uploads/2020/03/ALIETTE.png,https://www.google.com/search?q=grape+esca+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=MEd5YvOXD4fR-QbL26vADA&ved=0ahUKEwjz7__z8NL3AhWHaN4KHcvtCsgQ4dUDCAY&uact=5&oq=grape+esca+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADOgkIABCwAxAeEBg6BggAEA0QGDoKCAAQDRAFEB4QGDoKCAAQCBANEB4QGEoECEEYAVDqAVi5B2C-C2gBcAB4AIABaogBowOSAQMwLjSYAQCgAQHIAQHAAQE&sclient=products-cc
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQPzI0SnMtb60x2D1gGkRHsvD1j7NRl8Y7pjuIyuyrTxdpvUOpci7NxHWxt4Gfn3ETrCrgWKvGPH-jmbboE2vi4b4MiTq3kZKMdHFUSctUmXcH9ZRed0j4-&usqp=CAE,https://www.google.com/search?q=grape+leaf+blight+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=Rkd5YtS5C4ie-AamvoXoDg&oq=grape+leaf+blighfungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADGAAyBAghEAo6BggAEA0QGEoECEEYAVDyClirFmDcHmgEcAB4AIABlgGIAdoIkgEDMS45mAEAoAEBwAEB&sclient=products-cc
15,Grape___healthy,Sansar Green Grapes Fertilizer Fertilizer,https://rukminim1.flixcart.com/image/416/416/k51cpe80/soil-manure/4/m/h/400-grapes-fertilizer-sansar-green-original-imafntdujntbdner.jpeg?q=70,https://www.google.com/search?q=grape+fertilizer&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=A0d5YpTLH4HAhwPPkqXQBA&oq=greapfertilizer&gs_lcp=Cgtwcm9kdWN0cy1jYxADGAAyBAgAEA0yBAgAEA0yBAgAEA0yBggAEA0QGDIGCAAQDRAYMggIABAIEA0QHjIICAAQDRAeEBgyCAgAEA0QHhAYMggIABANEB4QGDIICAAQDRAeEBg6CAgAEIAEELADOgcIABCwAxAYSgQIQRgBUIYIWPkMYKskaAJwAHgAgAGNAYgB0ASSAQMwLjWYAQCgAQHIAQrAAQE&sclient=products-cc
16,Orange___Haunglongbing_(Citrus_greening),Green Dews CITRUS PLANT FOOD Fertilizer ,https://rukminim1.flixcart.com/image/416/416/ju79hu80/soil-manure/x/m/b/400-citrus-plant-food-green-dews-original-imaffbxhn3rz8k5p.jpeg?q=70,https://www.google.com/search?q=Orange+Haunglongbing%28Citrus+greening%29+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=YEd5Yt2xL4y7hwO_sqLADQ&ved=0ahUKEwjd4ZGL8dL3AhWM3WEKHT-ZCNgQ4dUDCAY&uact=5&oq=Orange+Haunglongbing%28Citrus+greening%29+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADSgQIQRgAUABYmztg3UNoAHAAeACAAZMBiAHiB5IBAzAuOJgBAKABAqABAcABAQ&sclient=products-cc
17,Peach___Bacterial_spot,SCORE FUNGICIDE,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ5shxq773t5Lmux-hhShKezjR64Af41W6NdhsDMXI-dNSAVvfY45rb5iHxMaqZXBdtFnfuiIcN8PdQ06YcYZi3gq6Uow-j&usqp=CAE,https://www.google.com/search?q=peach+bacterial+spot+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=r0d5YqqEIsbFhwOf0amoAQ&ved=0ahUKEwjql9qw8dL3AhXG4mEKHZ9oChUQ4dUDCAY&uact=5&oq=peach+bacterial+spot+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADOgYIABAHEB46BAgAEBg6BggAEB4QGDoICAAQBRAeEBg6CggAEAUQChAeEBg6CggAEAgQDRAeEBg6CAgAEAgQHhAYSgQIQRgBUKEOWJUnYJAoaAFwAHgAgAF8iAHQEJIBBDUuMTWYAQCgAQHAAQE&sclient=products-cc
18,Peach___healthy,Jeevamrut (Plant Growth Tonic),https://cdn.shopify.com/s/files/1/0047/9730/0847/products/nurserylive-fertilizer-jeevamrut-plant-growth-tonic-500-ml-for-garden_jpg_600x600.jpg?v=1607402323,https://www.google.com/search?q=peach+fertilizer&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=ckd5YuqbDpGB-Abtg4mACQ&ved=0ahUKEwjqnLuT8dL3AhWRAN4KHe1BApAQ4dUDCAY&uact=5&oq=peach+fertilizer&gs_lcp=Cgtwcm9kdWN0cy1jYxADMgUIABCABDIGCAAQBxAeMggIABAHEAUQHjIICAAQBRAeEBgyCAgAEAgQHhAYMggIABAIEB4QGDIICAAQCBAeEBgyCAgAEAgQHhAYMggIABAIEB4QGDIICAAQCBAeEBg6CAgAEIAEELADOgcIABCwAxAYOgkIABCwAxAIEB46CwgAELADEAgQChAeOgkIABCwAxAeEBg6BggAEA0QGDoKCAAQBxAFEAoQHjoECAAQDToKCAAQCBANEB4QGEoECEEYAVCVBliyEmDJE2gCcAB4AYABrQKIAeEGkgEHMC41LjAuMZgBAKABAcgBCsABAQ&sclient=products-cc
19,"Pepper,_bell___Bacterial_spot",Systemic Fungicide (Domark) Tetraconazole 3.8% w/w (4% w/v) EW,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQNEP3gEC77FdOUBy_xUgIbq7UU_N2TX1zRwCFvtl02Kz5-a6X2ZhXPAhf9y0kLieGR2VTVarUnZP_JMs0kFtEw-LqJwVSMHsjGP4Bz9scPPIB6NCLtcD7JNA&usqp=CAE,https://www.google.com/search?q=pepper+bell+bacterial+spot+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=x0d5YrDfM4mooATJuqHwDw&ved=0ahUKEwjw3qS88dL3AhUJFIgKHUldCP4Q4dUDCAY&uact=5&oq=pepper+bell+bacterial+spot+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADOgoIABAIEA0QHhAYOgQIIRAKSgQIQRgBUIkIWNUeYI4haAJwAHgAgAGuAYgBwgqSAQMzLjmYAQCgAQHAAQE&sclient=products-cc
20,"Pepper,_bell___healthy",Casa De Amor Organic Potash Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Organic_Potash-1_869x869.jpg?v=1583399466,https://www.google.com/search?q=bell+pepper+fertilizer&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=3Ud5YrLZCJPP-QbilpXQBA&oq=pepper+bell+fertilizer&gs_lcp=Cgtwcm9kdWN0cy1jYxABGAAyBggAEAgQHjIICAAQCBAeEBgyCAgAEAgQHhAYMggIABAIEB4QGDIICAAQCBAeEBg6CAgAEIAEELADOgkIABCwAxAIEB46CwgAELADEAUQHhAYOgsIABCwAxAIEB4QGDoECAAQDToGCAAQDRAYOggIABAIEA0QHjoKCAAQDRAFEB4QGDoKCAAQCBANEB4QGDoGCAAQBxAeOggIABAIEAcQHjoFCAAQgAQ6BAgAEBg6BggAEAUQHjoGCAAQHhAYOggIABANEB4QGEoECEEYAVDKBVidKGDdMmgEcAB4AIABeIgB1QuSAQQzLjExmAEAoAEByAEKwAEB&sclient=products-cc
21,Potato___Early_blight,Parin Herbal Fungicides (With Turmeric Extract),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQzAaBb9Tc2B0iXiYc08qD2WM4vjAz4TZHI6qwj-D7nck2bbtYQUnnODSqPSK_Vz5NR1Am8aRbc2Rd0anzqgVKWq-0OlZ6wkjE-3x0jXihQ9F0kO8nJu7FT&usqp=CAE,https://www.google.com/search?q=potato+early+blight+fungicides&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=Mf4kYuzNJIWDoASz5quoBg&oq=potato+earky+blight++fungisi&gs_lcp=Cgtwcm9kdWN0cy1jYxADGAAyCAgAEA0QHhAYOggIABAIEA0QHjoICAAQFhAeEBg6BwghEAoQoAFKBAhBGAFQlwlYlhRgriBoAnAAeACAAYcBiAGZB5IBAzAuOJgBAKABAcABAQ&sclient=products-cc
22,Potato___Late_blight,Syngenta Ridomil gold Fungicide ,https://krushikendra.com/image/cache/catalog/syngenta/RIDOMIL-GOLD-800x800.jpg,https://www.google.com/search?q=potato+late+blight+fungicides&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=Qf4kYtqzMJWjoATisqD4DA&ved=0ahUKEwia2J3Fj7L2AhWVEYgKHWIZCM8Q4dUDCAY&uact=5&oq=potato+late+blight+fungicides&gs_lcp=Cgtwcm9kdWN0cy1jYxADMgYIABAeEBg6CQgAELADEB4QGDoICAAQDRAeEBg6CggAEAgQDRAeEBhKBAhBGAFQpAlYnBFglBNoAnAAeACAAasBiAHlBJIBAzAuNZgBAKABAcgBAcABAQ&sclient=products-cc
